Material Composition,A site #1,A site #2,A site #3,B site #1,B site #2,B site #3,X site,Number of elements,Empty,Empty,Empty,Empty,Empty,energy_above_hull (meV/atom),formation_energy (eV/atom)
Ba6Bi1La1Fe8O24,Ba,Bi,La,Fe,,,O,5,,,,,,93.42580713,-1.443668329
Ba6Bi2Fe8O24,Ba,Bi,,Fe,,,O,4,,,,,,129.3236717,-1.27956302
Ba6Bi2Zr7Fe1O24,Ba,Bi,,Zr,Fe,,O,5,,,,,,0.202289181,-2.532279186
Ba6Ca2Fe8O24,Ba,Ca,,Fe,,,O,4,,,,,,118.3037635,-1.421432245
Ba6Cd1La1Fe8O24,Ba,Cd,La,Fe,,,O,5,,,,,,114.5546445,-1.390930141
Ba6Cd2Fe8O24,Ba,Cd,,Fe,,,O,4,,,,,,175.5795965,-1.170088395
Ba6Cd2Hf1Zr6Fe1O24,Ba,Cd,,Zr,Fe,Hf,O,6,,,,,,0,-2.536790687
Ba6Cd2Zr7Fe1O24,Ba,Cd,,Zr,Fe,,O,5,,,,,,59.1838239,-2.456707811
Ba6Ce2Fe8O24,Ba,Ce,,Fe,,,O,4,,,,,,120.2148156,-1.627183623
Ba6Dy2Fe8O24,Ba,Dy,,Fe,,,O,4,,,,,,121.3684215,-1.556909467
Ba6Gd2Fe8O24,Ba,Gd,,Fe,,,O,4,,,,,,98.51156618,-1.564352738
Ba6Hf2Mn6Zn2O24,Ba,Zn,,Mn,Hf,,O,5,,,,,,219.4705308,-1.654004453
Ba6Hf2Zn2Co6O24,Ba,Zn,,Co,Hf,,O,5,,,,,,245.6479886,-1.35564614
Ba6Hf2Zn2Fe6O24,Ba,Zn,,Fe,Hf,,O,5,,,,,,229.7901283,-1.535531352
